time,ax,ay,az,atotal
1.468,0.03,0.41,-0.27,0.49
1.478,-0.00,0.19,-0.04,0.19
1.488,0.01,0.47,-0.12,0.49
1.498,-0.08,0.00,-0.15,0.17
1.508,-0.08,0.06,-0.28,0.30
1.518,0.02,0.29,-0.18,0.34
1.528,-0.01,0.17,-0.19,0.25
1.538,0.01,0.43,-0.05,0.44
1.548,-0.05,0.00,-0.15,0.16
1.558,-0.06,0.04,-0.34,0.35
1.568,0.01,0.27,-0.35,0.44
1.578,-0.00,0.22,-0.03,0.22
1.587,0.04,0.36,0.04,0.36
1.597,-0.10,-0.02,-0.26,0.28
1.607,-0.05,0.07,-0.33,0.34
1.617,-0.01,0.26,-0.24,0.35
1.627,-0.02,0.22,-0.15,0.26
1.638,0.03,0.28,0.04,0.29
1.647,-0.05,0.02,-0.12,0.13
1.658,-0.06,0.09,-0.31,0.33
1.667,-0.00,0.30,-0.26,0.40
1.677,-0.05,0.20,-0.03,0.21
1.687,0.04,0.26,0.12,0.29
1.697,-0.07,-0.08,-0.13,0.17
1.708,-0.05,0.23,-0.30,0.38
1.718,-0.02,0.31,-0.14,0.34
1.727,0.03,0.12,0.04,0.13
1.738,0.03,0.27,0.10,0.29
1.747,-0.06,-0.08,-0.07,0.12
1.757,-0.05,0.28,-0.29,0.40
1.767,-0.03,0.40,-0.19,0.44
1.777,-0.02,0.16,-0.02,0.16
1.787,0.01,0.17,0.03,0.17
1.797,0.01,-0.08,0.01,0.08
1.807,-0.04,0.25,-0.18,0.31
1.817,-0.00,0.31,-0.13,0.33
1.827,-0.03,0.22,0.04,0.22
1.837,-0.04,0.09,-0.01,0.09
1.847,-0.01,-0.03,-0.01,0.03
1.857,-0.00,0.32,-0.23,0.39
1.867,-0.03,0.34,-0.17,0.39
1.877,0.01,0.24,0.09,0.26
1.887,-0.02,0.09,-0.06,0.11
1.897,-0.00,-0.10,-0.03,0.10
1.907,-0.00,0.31,-0.09,0.32
1.917,-0.01,0.28,-0.07,0.29
1.927,-0.04,0.30,0.05,0.30
1.937,-0.01,0.06,0.01,0.06
1.947,-0.04,-0.13,-0.07,0.15
1.957,0.02,0.38,-0.04,0.38
1.967,-0.04,0.26,-0.08,0.28
1.977,0.03,0.22,0.13,0.26
1.987,-0.02,0.08,-0.13,0.16
1.997,-0.02,-0.11,-0.05,0.12
2.007,0.02,0.37,-0.17,0.41
2.017,-0.01,0.26,0.12,0.29
2.027,-0.02,0.30,0.06,0.31
2.037,-0.03,-0.00,-0.14,0.14
2.047,-0.03,-0.06,-0.02,0.07
2.057,0.02,0.39,-0.16,0.42
2.067,0.01,0.17,0.11,0.20
2.077,0.04,0.38,0.12,0.40
2.087,-0.07,-0.53,-0.31,0.61
2.097,-0.02,0.49,-0.02,0.49
2.107,0.02,0.31,-0.11,0.33
2.117,-0.04,0.23,0.08,0.24
2.127,0.00,0.27,0.10,0.29
2.137,-0.04,0.07,-0.19,0.21
2.147,-0.04,-0.03,-0.17,0.17
2.157,0.02,0.39,-0.11,0.41
2.167,0.01,0.18,0.23,0.29
2.177,0.03,0.28,0.16,0.32
2.187,-0.08,-0.05,-0.05,0.11
2.197,-0.02,0.15,-0.28,0.32
2.207,0.01,0.26,-0.06,0.27
2.216,-0.00,0.22,0.11,0.25
2.227,0.05,0.22,0.11,0.25
2.236,-0.05,-0.07,-0.01,0.08
2.246,-0.04,0.16,-0.26,0.31
2.257,0.02,0.27,-0.04,0.27
2.267,0.01,0.16,0.21,0.26
2.277,0.04,0.22,0.15,0.27
2.287,-0.08,-0.06,-0.00,0.10
2.296,-0.02,0.20,-0.25,0.32
