0    1.9    10
0.1    2.4    10
0.2    2.9    10.1
0.3    3.2    10
0.4    3.4    10
0.5    3.5    10
0.6    3.7    10.1
0.7    3.8    10.2
0.8    3.9    10.2
0.9    4    10.2
1    4.1    10.1
1.25    4.3    10.2
1.5    4.5    10.1
1.75    4.6    10.1
2    4.8    10.2
2.25    5    10.3
2.5    5.1    10.3
2.75    5.3    10.3
3    5.4    10.3
4    5.7    10.3
5    6.1    10.3
6    6.3    10.3
7    6.6    10.2
8    6.9    10.2
9    7.2    10.2
10    7.5    10.2
12    8.1    10.5
14    8.5    10.3
16    8.9    10.3
18    9.1    10.2
20    9.3    10.1
22    9.5    10.1
24    9.6    10.1
26    9.7    10.2
28    9.8    10.2
30    9.8    10.2
32    9.8    10.2
