Position	h (cm)	h atm (cm)	dh (m)	Static Pressure	P/P0
1	59.9	60.8	-0.009	98844.64678	1.012205649
2	59.4	60.8	-0.014	99506.82178	1.018986566
3	59.5	60.8	-0.013	99374.38678	1.017630382
4	58.6	60.8	-0.022	100566.3018	1.029836032
5	57.6	60.8	-0.032	101890.6518	1.043397864
6	55.6	60.8	-0.052	104539.3518	1.070521529
7	52	60.8	-0.088	109307.0118	1.119344127
8	46.8	60.8	-0.14	116193.6318	1.189865656
9	44.8	60.8	-0.16	118842.3318	1.216989321
10	45.2	60.8	-0.156	118312.5918	1.211564588
11	46	60.8	-0.148	117253.1118	1.200715122
12	46.6	60.8	-0.142	116458.5018	1.192578023
13	47.2	60.8	-0.136	115663.8918	1.184440923
14	47.6	60.8	-0.132	115134.1518	1.17901619
15	48.1	60.8	-0.127	114471.9768	1.172235274
16	48.4	60.8	-0.124	114074.6718	1.168166724
17	48.6	60.8	-0.122	113809.8018	1.165454358
18	49	60.8	-0.118	113280.0618	1.160029625
19	49.6	60.8	-0.112	112485.4518	1.151892525
