Position	h (cm)	h atm (cm)	dh (m)	Static Pressure	P/P0
1	59.4	61.2	-0.018	100036.5618	1.024411299
2	59.6	61.2	-0.016	99771.69178	1.021698932
3	59.2	61.2	-0.02	100301.4318	1.027123665
4	58.1	61.2	-0.031	101758.2168	1.042041681
5	56.6	61.2	-0.046	103744.7418	1.06238443
6	53.6	61.2	-0.076	107717.7918	1.103069928
7	47.2	61.2	-0.14	116193.6318	1.189865656
8	46	61.2	-0.152	117782.8518	1.206139855
9	23.6	61.2	-0.376	147448.2918	1.509924905
10	19.2	61.2	-0.42	153275.4318	1.0
11	16.9	61.2	-0.443	156321.4368	1.0
12	16.2	61.2	-0.45	157248.4818	1.0
13	16.9	61.2	-0.443	156321.4368	1.0
14	17.1	61.2	-0.441	156056.5668	1.0
15	18.5	61.2	-0.427	154202.4768	1.0
16	24.8	61.2	-0.364	145859.0718	1.0
17	30.4	61.2	-0.308	138442.7118	1.0
18	32.3	61.2	-0.289	135926.4468	1.0
19	34.2	61.2	-0.27	133410.1818	1.0
