Position	h (cm)	h atm (cm)	dh (m)	Static Pressure	P/P0
1	59.8	61.6	-0.018	100036.5618	1.024411299
2	60	61.6	-0.016	99771.69178	1.021698932
3	59.6	61.6	-0.02	100301.4318	1.027123665
4	58.6	61.6	-0.03	101625.7818	1.040685498
5	57	61.6	-0.046	103744.7418	1.06238443
6	53.9	61.6	-0.077	107850.2268	1.104426111
7	47.4	61.6	-0.142	116458.5018	1.192578023
8	35.9	61.6	-0.257	131688.5268	1.348539097
9	23.8	61.6	-0.378	147713.1618	1.512637272
10	19.3	61.6	-0.423	153672.7368	1.573665518
11	16.8	61.6	-0.448	156983.6118	1.6075701
12	16.2	61.6	-0.454	157778.2218	1.615707199
13	16.6	61.6	-0.45	157248.4818	1.610282466
14	15.7	61.6	-0.459	158440.3968	1.622488116
15	13.7	61.6	-0.479	161089.0968	1.649611781
16	12.2	61.6	-0.494	163075.6218	1.66995453
17	11	61.6	-0.506	164664.8418	1.686228729
18	9.9	61.6	-0.517	166121.6268	1.701146745
19	10.4	61.6	-0.512	165459.4518	1.694365828
