# M, Cl, Cd, alpha, BF1, BF2, BF3, BF4
7.399999999999999911e-01,7.323300000000000365e-01,1.502000000000000036e-02,2.789499999999999869e+00,3.199851799931319185e-02,-1.780000000000003801e-01,-1.428894820006867405e-01,-4.288999999999997675e-02
7.399999999999999911e-01,7.568000000000000282e-01,1.626000000000000015e-02,2.894699999999999829e+00,5.447325492728971597e-02,-1.760000000000001563e-01,-1.148227450727103971e-01,-4.231999999999998957e-02
7.399999999999999911e-01,7.819899999999999629e-01,1.482999999999999943e-02,3.000000000000000000e+00,7.756226469624571962e-02,-1.650000000000000355e-01,-8.612673530375425379e-02,-4.145999999999998992e-02
7.467000000000000304e-01,3.630399999999999738e-01,8.070000000000000784e-03,1.000000000000000000e+00,-1.309253271220793824e-01,-2.610000000000001208e-01,-2.945308160224082705e-01,-4.355999999999998068e-02
7.467000000000000304e-01,3.831999999999999851e-01,8.130000000000000074e-03,1.105299999999999949e+00,-1.224662374504068563e-01,-2.510000000000001119e-01,-2.832082576585974731e-01,-4.293999999999999900e-02
7.467000000000000304e-01,4.034400000000000208e-01,8.210000000000000284e-03,1.210499999999999909e+00,-1.080125076840290355e-01,-2.400000000000002132e-01,-2.727580140002965337e-01,-4.250000000000000305e-02
7.467000000000000304e-01,4.240999999999999770e-01,8.330000000000000598e-03,1.315800000000000081e+00,-9.621674012452108293e-02,-2.310000000000000941e-01,-2.631106804942715538e-01,-4.190999999999999587e-02
7.467000000000000304e-01,4.443300000000000027e-01,8.559999999999999901e-03,1.421000000000000041e+00,-6.858410492132072100e-02,-2.200000000000001954e-01,-2.555577597589253624e-01,-4.137999999999999318e-02
7.467000000000000304e-01,4.648399999999999754e-01,8.729999999999999913e-03,1.526299999999999990e+00,-7.702785227438391225e-02,-2.090000000000000746e-01,-2.509118815486455212e-01,-4.062999999999999251e-02
7.467000000000000304e-01,4.858199999999999741e-01,8.519999999999999796e-03,1.631599999999999939e+00,-9.102801138114613444e-02,-1.980000000000003979e-01,-2.434460113811460769e-01,-4.014000000000000207e-02
7.467000000000000304e-01,5.064699999999999758e-01,8.750000000000000833e-03,1.736799999999999899e+00,-8.670701050212459293e-02,-1.840000000000001634e-01,-2.391250105021245353e-01,-3.931000000000000466e-02
7.467000000000000304e-01,5.274299999999999544e-01,9.100000000000000450e-03,1.842100000000000071e+00,-6.284901483605165318e-02,-1.700000000000003730e-01,-2.380122595839464505e-01,-3.835999999999999827e-02
7.467000000000000304e-01,5.493200000000000305e-01,9.610000000000000486e-03,1.947400000000000020e+00,-3.614164160030042261e-02,-1.610000000000000320e-01,-2.257657957459899833e-01,-3.797999999999997905e-02
7.467000000000000304e-01,5.703399999999999581e-01,1.004999999999999991e-02,2.052599999999999980e+00,-2.391623512820673092e-02,-1.510000000000002451e-01,-2.265201335498019386e-01,-3.699999999999999817e-02
7.467000000000000304e-01,5.924000000000000377e-01,1.060000000000000005e-02,2.157900000000000151e+00,-1.515402306136381938e-02,-1.410000000000000142e-01,-2.214756428786048836e-01,-3.667000000000000121e-02
7.467000000000000304e-01,6.156000000000000361e-01,1.060999999999999964e-02,2.263199999999999878e+00,-2.962660819852791505e-02,-1.410000000000000142e-01,-2.049731272716650565e-01,-3.664999999999998120e-02
7.467000000000000304e-01,6.518199999999999550e-01,1.140000000000000041e-02,2.368399999999999839e+00,-2.218338348455328735e-02,-1.790000000000002700e-01,-1.851150331966902041e-01,-4.000000000000000083e-02
7.467000000000000304e-01,6.773900000000000476e-01,1.273000000000000000e-02,2.473700000000000010e+00,8.746220317887853923e-03,-1.780000000000003801e-01,-1.661417796821120785e-01,-3.993999999999999634e-02
7.467000000000000304e-01,7.014000000000000234e-01,1.200000000000000025e-02,2.578899999999999970e+00,3.335645083301308489e-02,-1.730000000000000426e-01,-1.359395491669870282e-01,-3.951999999999999263e-02
