#    TIT          PR         ETA(%)    Wnet(kJ/kg)
0.12000E+04  0.57500E+02  0.49466E+02  0.31432E+03
0.12000E+04  0.60000E+02  0.49448E+02  0.30704E+03
0.12000E+04  0.62500E+02  0.49403E+02  0.29981E+03
0.12000E+04  0.65000E+02  0.49334E+02  0.29264E+03

#    TIT          PR         ETA(%)    Wnet(kJ/kg)
0.13000E+04  0.50000E+01  0.27916E+02  0.38054E+03
0.13000E+04  0.75000E+01  0.33602E+02  0.43463E+03
0.13000E+04  0.10000E+02  0.37239E+02  0.46118E+03
0.13000E+04  0.12500E+02  0.39832E+02  0.47488E+03
0.13000E+04  0.15000E+02  0.41799E+02  0.48153E+03
0.13000E+04  0.17500E+02  0.43354E+02  0.48392E+03
0.13000E+04  0.20000E+02  0.44617E+02  0.48356E+03
0.13000E+04  0.22500E+02  0.45664E+02  0.48135E+03
0.13000E+04  0.25000E+02  0.46546E+02  0.47785E+03
0.13000E+04  0.27500E+02  0.47296E+02  0.47343E+03
0.13000E+04  0.30000E+02  0.47941E+02  0.46835E+03
0.13000E+04  0.32500E+02  0.48497E+02  0.46278E+03
0.13000E+04  0.35000E+02  0.48980E+02  0.45686E+03
0.13000E+04  0.37500E+02  0.49400E+02  0.45067E+03
0.13000E+04  0.40000E+02  0.49766E+02  0.44430E+03
0.13000E+04  0.42500E+02  0.50085E+02  0.43779E+03
0.13000E+04  0.45000E+02  0.50362E+02  0.43118E+03
0.13000E+04  0.47500E+02  0.50602E+02  0.42451E+03
0.13000E+04  0.50000E+02  0.50808E+02  0.41780E+03
0.13000E+04  0.52500E+02  0.50985E+02  0.41107E+03
0.13000E+04  0.55000E+02  0.51134E+02  0.40434E+03
0.13000E+04  0.57500E+02  0.51257E+02  0.39762E+03
0.13000E+04  0.60000E+02  0.51358E+02  0.39092E+03
0.13000E+04  0.62500E+02  0.51437E+02  0.38424E+03
0.13000E+04  0.65000E+02  0.51496E+02  0.37760E+03

#    TIT          PR         ETA(%)    Wnet(kJ/kg)
0.14000E+04  0.50000E+01  0.27821E+02  0.42029E+03
0.14000E+04  0.75000E+01  0.33544E+02  0.48325E+03
0.14000E+04  0.10000E+02  0.37229E+02  0.51574E+03
0.14000E+04  0.12500E+02  0.39874E+02  0.53384E+03
0.14000E+04  0.15000E+02  0.41896E+02  0.54396E+03
0.14000E+04  0.17500E+02  0.43505E+02  0.54920E+03
0.14000E+04  0.20000E+02  0.44824E+02  0.55124E+03
0.14000E+04  0.22500E+02  0.45927E+02  0.55109E+03
0.14000E+04  0.25000E+02  0.46866E+02  0.54940E+03
0.14000E+04  0.27500E+02  0.47674E+02  0.54659E+03
0.14000E+04  0.30000E+02  0.48377E+02  0.54294E+03
0.14000E+04  0.32500E+02  0.48992E+02  0.53867E+03
0.14000E+04  0.35000E+02  0.49536E+02  0.53393E+03
0.14000E+04  0.37500E+02  0.50017E+02  0.52883E+03
0.14000E+04  0.40000E+02  0.50445E+02  0.52345E+03
0.14000E+04  0.42500E+02  0.50827E+02  0.51787E+03
0.14000E+04  0.45000E+02  0.51168E+02  0.51212E+03
0.14000E+04  0.47500E+02  0.51474E+02  0.50626E+03
0.14000E+04  0.50000E+02  0.51748E+02  0.50030E+03
0.14000E+04  0.52500E+02  0.51993E+02  0.49428E+03
0.14000E+04  0.55000E+02  0.52212E+02  0.48822E+03
0.14000E+04  0.57500E+02  0.52407E+02  0.48213E+03
0.14000E+04  0.60000E+02  0.52581E+02  0.47602E+03
0.14000E+04  0.62500E+02  0.52736E+02  0.46991E+03
0.14000E+04  0.65000E+02  0.52871E+02  0.46381E+03

#    TIT          PR         ETA(%)    Wnet(kJ/kg)
0.15000E+04  0.50000E+01  0.27694E+02  0.46037E+03
0.15000E+04  0.75000E+01  0.33438E+02  0.53230E+03
0.15000E+04  0.10000E+02  0.37157E+02  0.57081E+03
0.15000E+04  0.12500E+02  0.39840E+02  0.59339E+03
0.15000E+04  0.15000E+02  0.41901E+02  0.60705E+03
0.15000E+04  0.17500E+02  0.43551E+02  0.61518E+03
0.15000E+04  0.20000E+02  0.44910E+02  0.61967E+03
0.15000E+04  0.22500E+02  0.46055E+02  0.62163E+03
0.15000E+04  0.25000E+02  0.47036E+02  0.62178E+03
0.15000E+04  0.27500E+02  0.47886E+02  0.62060E+03
0.15000E+04  0.30000E+02  0.48631E+02  0.61843E+03
0.15000E+04  0.32500E+02  0.49289E+02  0.61549E+03
0.15000E+04  0.35000E+02  0.49876E+02  0.61196E+03
0.15000E+04  0.37500E+02  0.50400E+02  0.60797E+03
0.15000E+04  0.40000E+02  0.50872E+02  0.60361E+03
0.15000E+04  0.42500E+02  0.51299E+02  0.59898E+03
0.15000E+04  0.45000E+02  0.51685E+02  0.59411E+03
0.15000E+04  0.47500E+02  0.52036E+02  0.58907E+03
0.15000E+04  0.50000E+02  0.52356E+02  0.58389E+03
0.15000E+04  0.52500E+02  0.52648E+02  0.57860E+03
0.15000E+04  0.55000E+02  0.52914E+02  0.57323E+03
