3.707,0.260
3.707,0.259
3.707,0.257
3.707,0.255
3.707,0.254
3.707,0.254
3.707,0.253
3.707,0.253
3.707,0.251
3.707,0.249
3.707,0.247
3.707,0.245
3.707,0.243
3.707,0.242
3.707,0.241
3.707,0.240
3.707,0.240
3.707,0.239
3.707,0.238
3.707,0.237
3.707,0.236
3.707,0.234
3.707,0.234
3.707,0.233
3.707,0.232
3.707,0.231
3.707,0.229
3.707,0.229
3.707,0.229
3.707,0.228
3.707,0.228
3.707,0.228
3.707,0.228
3.707,0.229
3.707,0.229
3.708,0.230
3.708,0.231
3.708,0.232
3.708,0.232
3.708,0.232
3.709,0.231
3.710,0.231
3.711,0.230
3.712,0.228
3.713,0.226
3.714,0.225
3.715,0.224
3.716,0.223
3.718,0.222
3.718,0.222
3.718,0.221
3.719,0.220
3.720,0.220
3.720,0.220
3.720,0.221
3.720,0.223
3.720,0.224
3.720,0.225
3.720,0.225
3.720,0.225
3.720,0.225
3.720,0.226
3.721,0.226
3.721,0.226
3.721,0.225
3.721,0.224
3.721,0.223
3.722,0.222
3.722,0.221
3.723,0.219
3.723,0.218
3.723,0.218
3.724,0.213
3.725,0.208
3.726,0.203
3.727,0.200
3.728,0.195
3.730,0.190
3.731,0.184
3.732,0.179
3.733,0.173
3.735,0.167
3.735,0.167
3.736,0.161
3.737,0.156
3.738,0.152
3.739,0.147
3.740,0.141
3.742,0.135
3.743,0.129
3.744,0.123
3.745,0.118
3.746,0.114
3.746,0.114
3.748,0.110
3.749,0.106
3.749,0.102
3.750,0.098
3.750,0.095
3.751,0.094
3.751,0.094
3.751,0.094
3.751,0.093
3.752,0.092
3.752,0.092
3.751,0.092
3.752,0.093
3.752,0.094
3.752,0.096
3.752,0.098
3.752,0.099
3.752,0.100
3.752,0.101
3.752,0.103
3.752,0.105
3.752,0.105
3.752,0.108
3.752,0.110
3.752,0.113
3.752,0.115
3.751,0.117
3.752,0.118
3.751,0.119
3.751,0.120
3.751,0.121
3.752,0.122
3.752,0.122
3.752,0.122
3.752,0.122
3.752,0.122
3.752,0.122
3.752,0.122
3.752,0.122
3.752,0.123
3.751,0.123
3.751,0.123
3.751,0.123
3.751,0.123
3.751,0.123
3.751,0.123
3.751,0.123
3.751,0.123
3.751,0.123
3.751,0.124
3.751,0.125
3.751,0.126
3.751,0.126
3.752,0.127
3.752,0.127
3.752,0.129
3.752,0.132
3.752,0.134
3.752,0.137
