Group numbers,Specimen material,Test type,
,,,
,,,
Results Table 1,,,
,Group numbers,Specimen material,Test type
2,17,erethane_foam,compression
,,,
Results Table 2,,,
,,,
,,,
,,,
Time,Displacement,Force,
(s),(mm),(N),
89.7,2.9903,12.84816,
89.8,2.99341,12.77382,
89.9,2.99657,12.77647,
90,3.00032,12.96551,
90.1,3.00343,13.02207,
90.2,3.00659,12.85558,
90.3,3.01039,12.88621,
90.4,3.01345,12.92835,
90.5,3.0165,12.78243,
90.6,3.02041,12.82156,
90.7,3.02346,12.85241,
90.8,3.02652,12.96787,
90.9,3.03043,12.90193,
91,3.03348,12.83567,
91.1,3.03648,12.93562,
91.2,3.04045,12.96617,
91.3,3.04345,13.00246,
91.4,3.04645,13.00348,
91.5,3.05046,12.84178,
91.6,3.05346,12.85436,
91.7,3.05652,12.82315,
91.8,3.06048,13.00659,
91.9,3.06343,12.93537,
92,3.06654,12.93133,
92.1,3.07045,13.03323,
92.2,3.07339,12.92975,
92.3,3.07661,13.16898,
92.4,3.08036,12.89338,
92.5,3.08336,13.08617,
92.6,3.08668,12.88726,
92.7,3.09027,13.02447,
92.8,3.09343,13.10816,
92.9,3.09664,13.03504,
93,3.10018,12.96863,
93.1,3.10345,12.95624,
93.2,3.10671,12.9856,
93.3,3.11014,13.09,
93.4,3.11352,13.02455,
93.5,3.11673,13.09754,
93.6,3.12005,12.90296,
93.7,3.12359,13.05846,
93.8,3.1267,13.19164,
93.9,3.13002,13.22511,
94,3.13355,13.09587,
94.1,3.13671,13.10862,
94.2,3.14004,12.94324,
94.3,3.14357,13.32858,
94.4,3.14673,13.14721,
94.5,3.14995,13.05577,
94.6,3.15359,13.07663,
94.7,3.15675,13.1158,
94.8,3.15996,13.29727,
94.9,3.16361,13.17608,
95,3.16682,13.08478,
95.1,3.16987,13.03398,
95.2,3.17368,13.13563,
95.3,3.17684,13.24298,
95.4,3.17989,13.30732,
95.5,3.18375,13.17583,
95.6,3.18675,13.06313,
95.7,3.1898,13.22308,
95.8,3.19377,13.24356,
95.9,3.19677,13.25826,
96,3.19982,13.20495,
96.1,3.20379,13.23292,
96.2,3.20673,13.13645,
96.3,3.20984,13.41458,
96.4,3.21386,13.2081,
96.5,3.21675,13.21554,
96.6,3.21986,13.36285,
96.7,3.22377,13.40445,
96.8,3.22671,13.16871,
96.9,3.22987,13.23421,
97,3.23373,13.24814,
97.1,3.23673,13.32223,
97.2,3.23989,13.20746,
97.3,3.2437,13.4796,
97.4,3.2468,13.48478,
97.5,3.24996,13.25364,
97.6,3.25366,13.51336,
97.7,3.25682,13.23956,
97.8,3.25993,13.29075,
97.9,3.26357,13.41393,
98,3.26679,13.28793,
98.1,3.26995,13.13858,
98.2,3.27354,13.40771,
98.3,3.2768,13.36868,
98.4,3.28002,13.48696,
98.5,3.2835,13.22502,
98.6,3.28682,13.47941,
98.7,3.29004,13.35771,
98.8,3.29341,13.28791,
98.9,3.29684,13.41177,
99,3.30011,13.39932,
99.1,3.30338,13.55309,
99.2,3.30686,13.54037,
99.3,3.31013,13.47099,
99.4,3.31323,13.54576,
99.5,3.31693,13.29377,
99.6,3.32014,13.54795,
99.7,3.32325,13.36472,
99.8,3.327,13.38902,
99.9,3.33011,13.29447,
100,3.33321,13.39798,
100.1,3.33707,13.39276,
100.2,3.34007,13.49587,
100.3,3.34318,13.54875,
100.4,3.34709,13.64394,
100.5,3.35009,13.40754,
100.6,3.3532,13.67002,
100.7,3.35711,13.50858,
100.8,3.36005,13.53042,
100.9,3.36316,13.68739,
101,3.36712,13.52895,
101.1,3.37007,13.59552,
101.2,3.37318,13.78178,
101.3,3.37714,13.55154,
101.4,3.38009,13.57306,
101.5,3.3832,13.62287,
101.6,3.38711,13.6646,
101.7,3.39011,13.58389,
101.8,3.39321,13.31428,
101.9,3.39707,13.691,
102,3.40013,13.50328,
102.1,3.40323,13.62504,
102.2,3.40704,13.60378,
102.3,3.41009,13.65837,
102.4,3.4132,13.77752,
102.5,3.417,13.45778,
102.6,3.42011,13.76058,
102.7,3.42327,13.6652,
102.8,3.42702,13.58726,
102.9,3.43007,13.65755,
103,3.43334,13.69978,
103.1,3.43688,13.52375,
103.2,3.44009,13.62565,
103.3,3.44336,13.56439,
103.4,3.44684,13.56853,
103.5,3.45016,13.73315,
103.6,3.45337,13.8253,
103.7,3.45675,13.75379,
103.8,3.46018,13.77238,
103.9,3.46339,13.74919,
104,3.46671,13.80562,
104.1,3.47025,13.89282,
104.2,3.47341,13.92113,
104.3,3.47662,13.84037,
104.4,3.48027,13.85035,
104.5,3.48343,13.6921,
104.6,3.48659,13.81402,
104.7,3.49034,13.72377,
104.8,3.49339,13.78729,
104.9,3.49655,13.75538,
105,3.5003,13.86423,
105.1,3.50341,13.97913,
105.2,3.50657,13.79822,
105.3,3.51038,13.81868,
105.4,3.51343,13.94139,
105.5,3.51654,13.86174,
105.6,3.52045,13.91544,
105.7,3.52345,13.77032,
105.8,3.5265,13.90669,
105.9,3.53046,13.75805,
106,3.53346,13.8219,
106.1,3.53646,14.14433,
106.2,3.54048,14.05017,
106.3,3.54348,14.05122,
106.4,3.54648,13.90746,
106.5,3.5505,13.74701,
106.6,3.55345,13.89253,
106.7,3.5565,13.90575,
106.8,3.56046,13.94293,
106.9,3.56346,14.01639,
107,3.56652,13.92815,
107.1,3.57043,14.00926,
107.2,3.57343,14.10516,
107.3,3.57659,14.01128,
107.4,3.58034,14.16293,
107.5,3.58339,13.80534,
107.6,3.58661,14.13871,
107.7,3.5903,13.988,
107.8,3.59346,13.90757,
107.9,3.59668,14.0586,
108,3.60021,13.97162,
108.1,3.60348,14.17565,
108.2,3.6067,14.0752,
108.3,3.61018,14.02069,
108.4,3.6135,13.94385,
108.5,3.61671,13.9926,
108.6,3.62014,14.3479,
108.7,3.62357,14.11667,
108.8,3.62668,13.97432,
108.9,3.63005,14.19318,
109,3.63359,14.05586,
109.1,3.6367,14.09159,
109.2,3.64002,14.10789,
109.3,3.64355,13.97085,
109.4,3.64677,14.19795,
109.5,3.65004,14.13288,
109.6,3.65363,14.20329,
109.7,3.65673,14.114,
109.8,3.65995,14.19549,
109.9,3.66364,14.37669,
110,3.6668,14.10485,
110.1,3.66986,14.22245,
110.2,3.67371,14.14545,
110.3,3.67682,14.34503,
110.4,3.67982,14.31596,
110.5,3.68373,14.14631,
110.6,3.68673,14.24065,
110.7,3.68979,14.40943,
110.8,3.6938,14.19479,
110.9,3.69675,14.20413,
111,3.6998,14.37988,
111.1,3.70382,14.22361,
111.2,3.70677,14.13257,
111.3,3.70982,14.1886,
111.4,3.71384,14.28764,
111.5,3.71673,14.25615,
111.6,3.71984,14.22718,
111.7,3.7238,14.43272,
111.8,3.72675,14.24403,
111.9,3.72991,14.31783,
112,3.73371,14.29494,
112.1,3.73671,14.14656,
112.2,3.73993,14.42169,
112.3,3.74368,14.35684,
112.4,3.74679,14.51841,
112.5,3.74995,14.22148,
112.6,3.75364,14.36969,
112.7,3.7568,14.44325,
112.8,3.75996,14.33721,
112.9,3.76355,14.45311,
113,3.76682,14.44416,
113.1,3.76998,14.3097,
113.2,3.77352,14.30239,
113.3,3.77684,14.38373,
113.4,3.78,14.4712,
113.5,3.78348,14.38821,
113.6,3.7868,14.55287,
113.7,3.79002,14.47672,
113.8,3.79339,14.39012,
113.9,3.79688,14.47215,
114,3.80004,14.46164,
114.1,3.80341,14.47499,
114.2,3.80689,14.41163,
114.3,3.81011,14.34186,
114.4,3.81332,14.36344,
114.5,3.81691,14.39351,
114.6,3.82012,14.39109,
114.7,3.82329,14.5069,
114.8,3.82693,14.57315,
114.9,3.83009,14.5579,
115,3.83325,14.52796,
115.1,3.83705,14.58909,
115.2,3.84011,14.55887,
115.3,3.84321,14.67643,
115.4,3.84707,14.65752,
115.5,3.85007,14.46773,
115.6,3.85318,14.70121,
115.7,3.85709,14.53667,
115.8,3.86009,14.59965,
115.9,3.8632,14.69423,
116,3.86711,14.56669,
116.1,3.87005,14.50924,
116.2,3.87316,14.7742,
116.3,3.87713,14.60902,
116.4,3.88007,14.87942,
116.5,3.88318,14.60424,
116.6,3.88709,14.6732,
116.7,3.89014,14.56243,
116.8,3.8932,14.63719,
116.9,3.89705,14.79239,
117,3.90011,14.39531,
117.1,3.90321,14.58239,
117.2,3.90702,14.62431,
117.3,3.91013,14.73061,
117.4,3.91323,14.67883,
117.5,3.91704,14.70359,
117.6,3.92009,14.54931,
117.7,3.9233,14.67813,
117.8,3.92695,14.53475,
117.9,3.93005,14.78426,
118,3.93332,14.57912,
118.1,3.93686,14.62437,
118.2,3.94012,14.8112,
118.3,3.94334,14.87492,
118.4,3.94677,14.73283,
118.5,3.95014,14.77623,
118.6,3.95341,14.93454,
118.7,3.95673,14.82887,
118.8,3.96021,14.76855,
118.9,3.96343,14.79136,
119,3.96664,14.82532,
119.1,3.97029,14.70878,
119.2,3.97345,14.79713,
119.3,3.97661,14.99557,
119.4,3.9803,14.83405,
119.5,3.98341,14.80152,
119.6,3.98657,14.89286,
119.7,3.99027,14.83183,
119.8,3.99343,14.87736,
119.9,3.99659,14.83244,
120,4.00034,14.80829,
120.1,4.00339,14.89317,
120.2,4.00655,14.77066,
120.3,4.01036,14.83695,
120.4,4.01346,15.10529,
120.5,4.01657,14.83959,
120.6,4.02043,14.99658,
120.7,4.02343,14.8335,
120.8,4.02654,14.80928,
120.9,4.03039,14.82538,
121,4.03345,14.91074,
121.1,4.0365,14.73223,
121.2,4.04046,14.79748,
121.3,4.04346,14.95841,
121.4,4.04652,14.93617,
121.5,4.05048,14.85869,
121.6,4.05343,14.96795,
121.7,4.05648,15.07556,
121.8,4.06045,15.09503,
121.9,4.06339,14.82809,
122,4.0665,14.93368,
122.1,4.07046,14.84576,
122.2,4.07341,14.9604,
122.3,4.07657,14.97749,
122.4,4.08038,15.04115,
122.5,4.08343,14.98414,
122.6,4.08659,14.9138,
122.7,4.09029,15.20924,
122.8,4.09345,15.00711,
122.9,4.09666,14.86439,
123,4.10025,15.041,
123.1,4.10346,14.94118,
123.2,4.10673,15.00318,
123.3,4.11016,15.01255,
123.4,4.11348,14.98985,
123.5,4.1167,15.08547,
123.6,4.12007,15.06555,
123.7,4.12355,15.14027,
123.8,4.12671,14.91519,
123.9,4.13009,15.06666,
124,4.13357,14.98798,
124.1,4.13673,15.06532,
124.2,4.14,15.1092,
124.3,4.14354,15.08681,
124.4,4.14675,15.22021,
124.5,4.14996,14.99651,
124.6,4.15361,15.2652,
124.7,4.15677,15.13855,
124.8,4.15993,15.12569,
124.9,4.16368,15.14954,
125,4.16679,15.16053,
125.1,4.16984,15.16264,
125.2,4.1737,15.15794,
125.3,4.1768,15.29835,
125.4,4.1798,15.03537,
125.5,4.18377,15.11304,
125.6,4.18682,15.13091,
125.7,4.18982,15.11251,
125.8,4.19384,15.24696,
125.9,4.19679,15.02924,
126,4.19984,15.0829,
126.1,4.2038,15.08531,
126.2,4.20675,15.33635,
126.3,4.2098,15.1094,
126.4,4.21382,15.34553,
126.5,4.21671,15.25273,
126.6,4.21987,15.29449,
126.7,4.22379,15.27124,
126.8,4.22673,15.3253,
126.9,4.22989,15.11637,
127,4.23375,15.18327,
127.1,4.23675,15.16103,
127.2,4.23991,15.33661,
127.3,4.24371,15.36658,
127.4,4.24682,15.1251,
127.5,4.24993,15.35933,
127.6,4.25362,15.53989,
127.7,4.25679,15.42992,
127.8,4.25995,15.37644,
127.9,4.26359,15.41497,
128,4.2668,15.30821,
128.1,4.26996,15.29117,
128.2,4.27355,15.29193,
128.3,4.27677,15.46731,
128.4,4.27998,15.11589,
128.5,4.28352,15.3355,
128.6,4.28684,15.3785,
128.7,4.29,15.26096,
128.8,4.29343,15.41018,
128.9,4.29686,15.39893,
129,4.30007,15.32933,
129.1,4.30339,15.42742,
129.2,4.30693,15.4714,
129.3,4.31009,15.52176,
129.4,4.3133,15.42757,
129.5,4.31695,15.35906,
129.6,4.32016,15.27532,
129.7,4.32327,15.48166,
129.8,4.32696,15.38119,
129.9,4.33007,15.39282,
130,4.33318,15.5307,
130.1,4.33709,15.59629,
130.2,4.34009,15.37754,
130.3,4.3432,15.51866,
130.4,4.34705,15.36794,
130.5,4.35011,15.53851,
130.6,4.35316,15.73355,
130.7,4.35713,15.50928,
130.8,4.36007,15.53338,
130.9,4.36318,15.62641,
131,4.36714,15.51558,
131.1,4.37009,15.40294,
131.2,4.3732,15.57737,
131.3,4.37711,15.49848,
131.4,4.38011,15.43413,
131.5,4.38316,15.63505,
131.6,4.38707,15.53428,
131.7,4.39013,15.57597,
131.8,4.39318,15.48271,
131.9,4.39709,15.56248,
132,4.40014,15.46617,
132.1,4.4032,15.59372,
132.2,4.40705,15.67108,
132.3,4.41011,15.71562,
132.4,4.41327,15.50877,
132.5,4.41702,15.5753,
132.6,4.42013,15.57989,
132.7,4.42329,15.62756,
132.8,4.42698,15.52448,
132.9,4.43009,15.54794,
133,4.4333,15.54922,
133.1,4.43684,15.53162,
133.2,4.44011,15.5165,
133.3,4.44338,15.53517,
133.4,4.44686,15.55322,
133.5,4.45013,15.57759,
133.6,4.45339,15.65187,
133.7,4.45677,15.77965,
133.8,4.4602,15.74341,
133.9,4.46341,15.39471,
134,4.46673,15.52003,
134.1,4.47021,15.72898,
134.2,4.47343,15.82481,
134.3,4.47664,15.65362,
134.4,4.48029,15.74044,
134.5,4.48339,15.68544,
134.6,4.48661,15.6614,
134.7,4.4903,15.62402,
134.8,4.49341,15.6622,
134.9,4.49657,15.59239,
135,4.50032,15.78098,
135.1,4.50343,15.77081,
135.2,4.50659,15.69257,
135.3,4.51039,15.69024,
135.4,4.51345,15.76893,
135.5,4.51655,15.75247,
135.6,4.52041,15.67125,
135.7,4.52346,15.84515,
135.8,4.52652,15.79481,
135.9,4.53043,15.81873,
136,4.53348,15.86989,
136.1,4.53648,15.79143,
136.2,4.54045,15.90832,
136.3,4.54345,15.70871,
136.4,4.5465,15.9194,
136.5,4.55046,15.81148,
136.6,4.55346,15.86817,
136.7,4.55652,15.8063,
136.8,4.56048,15.79361,
136.9,4.56337,15.81218,
137,4.56654,15.94664,
137.1,4.57045,16.01457,
137.2,4.57339,15.90098,
137.3,4.57661,15.96289,
137.4,4.58036,15.87406,
137.5,4.58341,15.97635,
137.6,4.58663,15.8312,
137.7,4.59027,15.88853,
137.8,4.59343,15.99899,
137.9,4.59664,15.75224,
138,4.60018,15.76508,
138.1,4.60345,15.99514,
138.2,4.60671,15.82632,
138.3,4.61009,15.82371,
138.4,4.61352,15.99401,
138.5,4.61673,15.80754,
138.6,4.62005,15.83576,
138.7,4.62359,16.07836,
138.8,4.6267,15.84972,
138.9,4.63002,16.17014,
139,4.63361,15.92411,
139.1,4.63671,15.96159,
139.2,4.64004,16.08642,
139.3,4.64357,15.99816,
139.4,4.64673,15.80473,
139.5,4.64995,16.09572,
139.6,4.65359,16.01257,
139.7,4.65675,15.88052,
139.8,4.65996,16.18504,
139.9,4.66366,15.90949,
140,4.66677,16.05202,
140.1,4.66988,15.9752,
140.2,4.67368,15.96725,
140.3,4.67679,16.17776,
140.4,4.67984,16.09208,
140.5,4.68375,16.13959,
140.6,4.6868,16.03303,
140.7,4.68986,16.0497,
140.8,4.69377,16.27367,
140.9,4.69677,16.08496,
141,4.69982,16.21773,
141.1,4.70379,16.13528,
141.2,4.70673,16.15298,
141.3,4.70984,16.0235,
141.4,4.71386,15.97063,
141.5,4.71675,16.07734,
141.6,4.71986,15.96853,
141.7,4.72382,16.08702,
141.8,4.72671,16.2332,
141.9,4.72988,16.18037,
142,4.73373,16.20385,
142.1,4.73673,16.19203,
142.2,4.73989,16.10032,
142.3,4.7437,16.22245,
142.4,4.7468,16.10659,
142.5,4.74996,16.01587,
142.6,4.75366,16.15419,
142.7,4.75677,16.28478,
142.8,4.75993,15.99148,
142.9,4.76357,16.15401,
143,4.76679,16.27814,
143.1,4.77,16.1978,
143.2,4.77354,16.25997,
143.3,4.7768,16.08747,
143.4,4.78002,16.1075,
143.5,4.7835,16.10398,
143.6,4.78682,16.28247,
143.7,4.79004,16.28246,
143.8,4.79341,16.20027,
143.9,4.79684,16.34827,
144,4.80005,16.23961,
144.1,4.80337,16.25712,
144.2,4.80686,16.24915,
144.3,4.81012,16.16563,
144.4,4.81329,16.27439,
144.5,4.81698,16.30844,
144.6,4.82014,16.21998,
144.7,4.82325,16.22126,
144.8,4.827,16.34801,
144.9,4.83011,16.30212,
145,4.83316,16.1965,
145.1,4.83707,16.38371,
145.2,4.84007,16.35818,
145.3,4.84318,16.27015,
145.4,4.84714,16.44067,
145.5,4.85009,16.33507,
145.6,4.8532,16.40115,
145.7,4.85711,16.507,
145.8,4.86005,16.22112,
145.9,4.86316,16.4219,
146,4.86713,16.31734,
146.1,4.87007,16.57698,
146.2,4.87318,16.59066,
146.3,4.87709,16.38123,
146.4,4.88009,16.39716,
146.5,4.8832,16.45457,
146.6,4.88711,16.42018,
146.7,4.89011,16.37768,
146.8,4.89321,16.61558,
146.9,4.89707,16.37281,
147,4.90013,16.27574,
147.1,4.90323,16.51486,
147.2,4.90704,16.39518,
147.3,4.91014,16.55391,
147.4,4.91325,16.50303,
147.5,4.917,16.47586,
147.6,4.92011,16.49072,
147.7,4.92327,16.35429,
147.8,4.92696,16.32552,
147.9,4.93007,16.56102,
148,4.93329,16.59995,
148.1,4.93693,16.4376,
148.2,4.94009,16.55628,
148.3,4.94336,16.60215,
148.4,4.94684,16.4873,
148.5,4.95016,16.37821,
148.6,4.95337,16.52963,
148.7,4.95675,16.63852,
148.8,4.96018,16.54382,
148.9,4.96345,16.50978,
149,4.96671,16.5449,
149.1,4.97025,16.49414,
149.2,4.97341,16.5661,
149.3,4.97662,16.57063,
149.4,4.98027,16.66543,
149.5,4.98343,16.54208,
149.6,4.98664,16.60157,
149.7,4.99029,16.60073,
149.8,4.99345,16.73609,
149.9,4.99661,16.61536,
150,5.00036,16.77983,
150.1,5.00341,16.76019,
150.2,5.00657,16.63731,
150.3,5.01043,16.70594,
150.4,5.01343,16.70212,
150.5,5.01654,16.67659,
150.6,5.02045,16.78737,
150.7,5.02345,16.63693,
150.8,5.0265,16.66641,
150.9,5.03046,16.70188,
151,5.03346,16.79383,
151.1,5.03652,16.59307,
151.2,5.04048,16.7991,
151.3,5.04343,16.72124,
151.4,5.04648,16.7101,
151.5,5.0505,16.74841,
151.6,5.05345,16.66176,
151.7,5.0565,16.55892,
151.8,5.06046,16.66473,
151.9,5.06341,16.77083,
152,5.06652,16.70736,
152.1,5.07043,16.71058,
152.2,5.07343,16.72166,
152.3,5.07659,16.78673,
152.4,5.08034,16.79607,
152.5,5.08345,16.63776,
152.6,5.08661,16.672,
152.7,5.0903,16.70315,
152.8,5.09341,16.86362,
152.9,5.09668,16.81611,
153,5.10021,16.66264,
153.1,5.10348,16.71325,
153.2,5.1067,16.71819,
153.3,5.11018,16.83803,
153.4,5.1135,16.88983,
153.5,5.11671,16.85074,
153.6,5.12009,16.88887,
153.7,5.12352,16.92795,
153.8,5.12673,16.93871,
153.9,5.13005,16.9548,
154,5.13354,16.9316,
154.1,5.1367,16.81577,
154.2,5.14002,16.88291,
154.3,5.14361,17.04715,
154.4,5.14677,16.92191,
154.5,5.15004,16.91365,
154.6,5.15357,16.89188,
154.7,5.15679,16.6205,
154.8,5.15995,16.73796,
154.9,5.16364,16.78383,
155,5.16675,16.73699,
155.1,5.16991,16.79671,
155.2,5.17371,16.77874,
155.3,5.17682,16.7756,
155.4,5.17988,17.18752,
155.5,5.18373,16.86328,
155.6,5.18679,16.98701,
155.7,5.18979,16.90722,
155.8,5.1938,16.97075,
155.9,5.19675,16.93751,
156,5.1998,17.06733,
156.1,5.20382,17.07808,
156.2,5.20677,16.9967,
156.3,5.20982,17.16957,
156.4,5.21384,16.97107,
156.5,5.21673,17.03834,
156.6,5.21984,17.00958,
156.7,5.2238,17.0593,
156.8,5.22675,17.08126,
156.9,5.22991,17.01726,
157,5.23371,16.8854,
157.1,5.23671,16.91159,
157.2,5.23993,16.98598,
157.3,5.24363,17.04297,
157.4,5.24679,17.07754,
157.5,5.24995,17.18085,
157.6,5.25364,17.20669,
157.7,5.2568,17.20918,
157.8,5.25996,16.98129,
157.9,5.26355,17.16445,
158,5.26682,16.94402,
158.1,5.26998,17.07695,
158.2,5.27352,17.17887,
158.3,5.27684,17.32991,
158.4,5.28,17.01149,
158.5,5.28348,17.17497,
158.6,5.28686,17.35317,
158.7,5.29002,17.12667,
158.8,5.29345,17.06788,
158.9,5.29688,17.14961,
159,5.30009,16.93394,
159.1,5.30336,17.36824,
159.2,5.30689,17.13219,
159.3,5.31011,17.0259,
159.4,5.31332,17.26926,
159.5,5.31691,17.21093,
159.6,5.32012,17.19626,
159.7,5.32329,17.16327,
159.8,5.32698,17.24447,
159.9,5.33009,17.13099,
160,5.33325,17.39129,
160.1,5.337,17.13375,
160.2,5.34011,17.12619,
160.3,5.34321,17.40997,
160.4,5.34707,17.12801,
160.5,5.35007,17.16664,
160.6,5.35318,17.31956,
160.7,5.35714,17.30627,
160.8,5.36009,17.19344,
160.9,5.3632,17.05791,
161,5.36711,17.2857,
161.1,5.37011,17.36497,
161.2,5.37316,17.30528,
161.3,5.37712,17.29857,
161.4,5.38012,17.1789,
161.5,5.38318,17.27108,
161.6,5.38714,17.24048,
161.7,5.39014,17.27346,
161.8,5.3932,17.29097,
161.9,5.39711,17.43338,
162,5.40011,17.21887,
162.1,5.40321,17.44189,
162.2,5.40707,17.16377,
162.3,5.41007,17.35904,
162.4,5.41323,17.39602,
162.5,5.41698,17.35616,
162.6,5.42009,17.43128,
162.7,5.4233,17.59014,
162.8,5.42695,17.40493,
162.9,5.43011,17.57561,
163,5.43332,17.39077,
163.1,5.43686,17.34463,
163.2,5.44013,17.42219,
163.3,5.44334,17.49468,
163.4,5.44682,17.48707,
163.5,5.45014,17.44023,
163.6,5.45341,17.4523,
163.7,5.45673,17.48829,
163.8,5.46021,17.48308,
163.9,5.46343,17.47464,
164,5.46664,17.503,
164.1,5.47029,17.51747,
164.2,5.47345,17.58605,
164.3,5.47661,17.58176,
164.4,5.4803,17.4762,
164.5,5.48341,17.46762,
164.6,5.48657,17.46745,
164.7,5.49032,17.36245,
164.8,5.49343,17.48095,
164.9,5.49654,17.58155,
165,5.50034,17.32344,
165.1,5.50339,17.56528,
165.2,5.5065,17.5087,
165.3,5.51036,17.5694,
165.4,5.51341,17.5589,
165.5,5.51652,17.50932,
165.6,5.52043,17.60789,
165.7,5.52343,17.65581,
165.8,5.52654,17.57412,
165.9,5.53039,17.68295,
166,5.5335,17.73613,
166.1,5.5365,17.74272,
166.2,5.54046,17.57051,
166.3,5.54346,17.64219,
166.4,5.54652,17.60122,
166.5,5.55048,17.592,
166.6,5.55343,17.78313,
166.7,5.55648,17.64144,
166.8,5.56045,17.59372,
166.9,5.56339,17.63462,
167,5.56655,17.71849,
167.1,5.57046,17.54199,
167.2,5.57341,17.69078,
167.3,5.57657,17.51373,
167.4,5.58038,17.59225,
167.5,5.58338,17.80998,
167.6,5.58659,17.76297,
167.7,5.59029,17.6393,
167.8,5.59339,17.7008,
167.9,5.59661,17.67879,
168,5.60025,17.86792,
168.1,5.60346,17.65657,
168.2,5.60668,17.798,
168.3,5.61016,17.60443,
168.4,5.61348,17.64971,
168.5,5.6167,17.60582,
168.6,5.62007,17.75998,
168.7,5.62355,17.95433,
168.8,5.62671,17.83589,
168.9,5.63009,17.68237,
169,5.63357,17.93815,
169.1,5.63673,17.88523,
169.2,5.64,17.74784,
169.3,5.64359,17.6062,
169.4,5.64675,17.82757,
169.5,5.64996,17.81464,
169.6,5.65361,17.85353,
169.7,5.65677,17.80936,
169.8,5.65993,17.89485,
169.9,5.66362,17.84311,
170,5.66679,18.01915,
170.1,5.66984,17.84703,
170.2,5.6737,17.77365,
170.3,5.6768,17.79528,
170.4,5.67986,17.97365,
170.5,5.68377,17.76154,
170.6,5.68677,17.8789,
170.7,5.68982,17.92558,
170.8,5.69384,17.76377,
170.9,5.69679,17.65347,
171,5.69984,17.73604,
171.1,5.70386,18.04076,
171.2,5.70675,17.77632,
171.3,5.70986,17.8338,
171.4,5.71382,17.89458,
171.5,5.71671,17.87818,
171.6,5.71987,17.87278,
171.7,5.72379,17.91209,
171.8,5.72673,18.0648,
171.9,5.72989,18.05122,
172,5.73375,17.98606,
172.1,5.73675,17.81708,
172.2,5.73991,17.98458,
172.3,5.74371,18.03702,
172.4,5.74682,17.81518,
172.5,5.74993,18.04856,
172.6,5.75363,17.92931,
172.7,5.75679,18.04982,
172.8,5.75995,18.05593,
172.9,5.76359,17.96043,
173,5.7668,18.03343,
173.1,5.76996,18.06418,
173.2,5.77355,18.11472,
173.3,5.77682,18.08709,
173.4,5.77998,17.90978,
173.5,5.78352,18.21712,
173.6,5.78684,18.12428,
173.7,5.79005,18.07543,
173.8,5.79343,18.18199,
173.9,5.79686,18.11864,
174,5.80007,18.06151,
174.1,5.80339,18.15109,
174.2,5.80687,18.08134,
174.3,5.81009,17.98481,
174.4,5.8133,18.28874,
174.5,5.81689,18.20713,
174.6,5.82011,18.10202,
174.7,5.82327,18.10133,
174.8,5.82702,18.02267,
174.9,5.83007,18.1226,
175,5.83318,18.21301,
175.1,5.83704,18.02338,
175.2,5.84009,18.29768,
175.3,5.8432,18.22876,
175.4,5.84711,18.24891,
175.5,5.85011,18.20298,
175.6,5.85316,18.1223,
175.7,5.85712,18.0013,
175.8,5.86007,18.18578,
175.9,5.86318,18.27565,
176,5.86714,18.2132,
176.1,5.87009,18.2485,
176.2,5.8732,18.13337,
176.3,5.87716,18.15705,
176.4,5.88011,18.08866,
176.5,5.88321,18.23599,
176.6,5.88707,18.25905,
176.7,5.89012,18.19576,
176.8,5.89323,18.29753,
176.9,5.89709,18.23802,
177,5.90009,18.29125,
177.1,5.9032,18.12426,
177.2,5.90705,18.31007,
177.3,5.91011,18.09352,
177.4,5.91327,18.26264,
177.5,5.91702,18.11909,
177.6,5.92012,18.28633,
177.7,5.92329,18.28636,
177.8,5.92698,18.24403,
177.9,5.93014,18.15498,
178,5.9333,18.09986,
178.1,5.93684,18.35125,
178.2,5.94011,18.30771,
178.3,5.94338,18.38777,
178.4,5.94686,18.40065,
178.5,5.95012,18.46334,
178.6,5.95339,18.37356,
178.7,5.95677,18.27316,
178.8,5.9602,18.28869,
178.9,5.96341,18.38274,
179,5.96673,18.43308,
179.1,5.97021,18.65175,
179.2,5.97343,18.29327,
179.3,5.97664,18.41396,
179.4,5.98023,18.36076,
179.5,5.98339,18.39535,
179.6,5.98661,18.38133,
179.7,5.99025,18.44268,
179.8,5.99341,18.32081,
179.9,5.99657,18.51917,
180,6.00032,18.53198,
180.1,6.00343,18.55995,
180.2,6.00659,18.35511,
180.3,6.01034,18.40647,
180.4,6.01345,18.61829,
180.5,6.0165,18.40579,
180.6,6.02041,18.51203,
180.7,6.02346,18.38376,
180.8,6.02652,18.47331,
180.9,6.03043,18.50579,
181,6.03348,18.43494,
181.1,6.03648,18.51386,
181.2,6.04045,18.28826,
181.3,6.04345,18.57957,
181.4,6.0465,18.64482,
181.5,6.05046,18.35537,
181.6,6.05341,18.56485,
181.7,6.05652,18.49972,
181.8,6.06048,18.606,
181.9,6.06343,18.30645,
182,6.06654,18.82018,
182.1,6.07045,18.3609,
182.2,6.07339,18.60433,
182.3,6.07655,18.41242,
182.4,6.08036,18.6464,
182.5,6.08341,18.36186,
182.6,6.08663,18.70836,
182.7,6.09027,18.4963,
182.8,6.09343,18.63054,
182.9,6.09664,18.45061,
183,6.10018,18.6656,
183.1,6.10345,18.65888,
183.2,6.10671,18.46007,
183.3,6.11014,18.59968,
183.4,6.11352,18.65942,
183.5,6.11673,18.50827,
