Group numbers,Specimen material,Test type,
,,,
,,,
Results Table 1,,,
,Group numbers,Specimen material,Test type
2,17,erethane_foam,compression
,,,
Results Table 2,,,
,,,
,,,
,,,
Time,Displacement,Force,
(s),(mm),(N),
20.5,0.68373,0.7365,
20.6,0.68679,0.96098,
20.7,0.68979,1.05339,
20.8,0.6938,1.06136,
20.9,0.69675,0.83642,
21,0.6998,1.00274,
21.1,0.70387,0.89939,
21.2,0.70671,1.08385,
21.3,0.70982,1.01093,
21.4,0.71384,1.08385,
21.5,0.71673,1.07487,
21.6,0.71984,1.06217,
21.7,0.7238,1.32889,
21.8,0.72675,1.24161,
21.9,0.72986,1.14318,
22,0.73377,1.19656,
22.1,0.73671,1.13476,
22.2,0.73988,1.19769,
22.3,0.74368,1.39442,
22.4,0.74679,1.37061,
22.5,0.74989,1.42727,
22.6,0.75364,1.59533,
22.7,0.7568,1.45011,
22.8,0.75996,1.65189,
22.9,0.76355,1.6485,
23,0.76682,1.77632,
23.1,0.76998,1.59362,
23.2,0.77352,1.74448,
23.3,0.77684,1.61511,
23.4,0.78,1.67901,
23.5,0.78348,1.96143,
23.6,0.7868,1.97086,
23.7,0.79002,1.80936,
23.8,0.79339,1.98076,
23.9,0.79688,2.04439,
24,0.80009,2.15291,
24.1,0.80341,2.18976,
24.2,0.80689,2.05545,
24.3,0.81011,2.22766,
24.4,0.81332,2.46915,
24.5,0.81696,2.27878,
24.6,0.82012,2.29793,
24.7,0.82329,2.46863,
24.8,0.82698,2.31632,
24.9,0.83009,2.34474,
25,0.83325,2.58613,
25.1,0.83705,2.54007,
25.2,0.84011,2.63732,
25.3,0.84316,2.63024,
25.4,0.84707,2.66205,
25.5,0.85007,2.63881,
25.6,0.85318,2.90813,
25.7,0.85709,2.87082,
25.8,0.86009,2.9562,
25.9,0.8632,2.99765,
26,0.86711,3.04111,
26.1,0.87005,3.01614,
26.2,0.87316,3.23717,
26.3,0.87712,3.06862,
26.4,0.88012,3.16031,
26.5,0.88318,3.3586,
26.6,0.88714,3.50926,
26.7,0.89009,3.32542,
26.8,0.8932,3.31957,
26.9,0.89711,3.33172,
27,0.90011,3.48996,
27.1,0.90321,3.48242,
27.2,0.90707,3.46211,
27.3,0.91012,3.5429,
27.4,0.91323,3.7385,
27.5,0.91704,3.73242,
27.6,0.92009,3.84618,
27.7,0.9233,4.01451,
27.8,0.927,3.89898,
27.9,0.93011,3.92012,
28,0.93332,3.99645,
28.1,0.93691,4.1116,
28.2,0.94012,4.07697,
28.3,0.94339,3.98759,
28.4,0.94682,4.05396,
28.5,0.95014,4.15022,
28.6,0.95341,4.3986,
28.7,0.95668,4.44271,
28.8,0.96021,4.30591,
28.9,0.96343,4.4616,
29,0.96664,4.4777,
29.1,0.97023,4.64985,
29.2,0.97339,4.58344,
29.3,0.97661,4.68457,
29.4,0.9803,4.79875,
29.5,0.98341,4.60258,
29.6,0.98657,4.90115,
29.7,0.99032,4.78054,
29.8,0.99343,4.86369,
29.9,0.99659,4.93432,
30,1.00034,4.91832,
30.1,1.00339,5.16039,
30.2,1.00655,5.0636,
30.3,1.01036,5.24106,
30.4,1.01341,5.18292,
30.5,1.01657,5.16737,
30.6,1.02038,5.22111,
30.7,1.02343,5.24532,
30.8,1.02654,5.25302,
30.9,1.03039,5.28562,
31,1.0335,5.49418,
31.1,1.0365,5.62554,
31.2,1.04046,5.46668,
31.3,1.04346,5.4597,
31.4,1.04646,5.62978,
31.5,1.05048,5.69719,
31.6,1.05343,5.81957,
31.7,1.05648,5.72274,
31.8,1.06045,5.9185,
31.9,1.06339,6.00075,
32,1.0665,6.02587,
32.1,1.07046,5.82643,
32.2,1.07341,6.12583,
32.3,1.07657,6.16933,
32.4,1.08038,6.07472,
32.5,1.08338,6.02503,
32.6,1.08659,6.30162,
32.7,1.09029,5.97538,
32.8,1.09339,6.28023,
32.9,1.09666,6.15196,
33,1.10025,6.28732,
33.1,1.10346,6.29632,
33.2,1.10668,6.42321,
33.3,1.11016,6.49531,
33.4,1.11348,6.55344,
33.5,1.1167,6.5394,
33.6,1.12007,6.46053,
33.7,1.1235,6.51335,
33.8,1.12671,6.49293,
33.9,1.13009,6.68648,
34,1.13352,6.6137,
34.1,1.13673,6.77256,
34.2,1.14005,6.86536,
34.3,1.14359,6.68686,
34.4,1.14675,6.88147,
34.5,1.14996,6.94326,
34.6,1.15361,7.06498,
34.7,1.15677,6.94947,
34.8,1.15993,7.05267,
34.9,1.16368,7.20473,
35,1.16679,7.04809,
35.1,1.16984,7.22761,
35.2,1.1737,7.09762,
35.3,1.1768,7.09499,
35.4,1.17986,7.26555,
