Group numbers,Specimen material,Test type
"","",""

Results Table 1
,Group numbers,Specimen material,Test type
"1","17","polystyrene","compression"

Results Table 2



Time,Displacement,Force
(s),(mm),(N)
"18.20000","0.78230","10.81656"
"18.30000","0.78525","10.65315"
"18.40000","0.78830","10.73114"
"18.50000","0.79232","10.81854"
"18.60000","0.79521","10.77041"
"18.70000","0.79832","10.72855"
"18.80000","0.80223","10.70083"
"18.90000","0.80523","10.89840"
"19.00000","0.80839","10.86726"
"19.10000","0.81214","10.71187"
"19.20000","0.81520","10.80230"
"19.30000","0.81841","10.54883"
"19.40000","0.82205","10.73321"
"19.50000","0.82527","10.80062"
"19.60000","0.82843","10.76087"
"19.70000","0.83202","10.50861"
"19.80000","0.83529","10.74200"
"19.90000","0.83850","10.52444"
"20.00000","0.84198","10.81019"
"20.10000","0.84530","10.78080"
"20.20000","0.84846","10.83296"
"20.30000","0.85189","10.67084"
"20.40000","0.85532","10.68870"
"20.50000","0.85854","10.73395"
"20.60000","0.86191","10.84763"
"20.70000","0.86534","10.73242"
"20.80000","0.86855","10.88182"
"20.90000","0.87182","10.84156"
"21.00000","0.87536","11.07109"
"21.10000","0.87857","11.05859"
"21.20000","0.88179","11.11847"
"21.30000","0.88537","11.30402"
"21.40000","0.88859","11.61250"
"21.50000","0.89175","11.84560"
"21.60000","0.89539","11.94369"
"21.70000","0.89861","12.27738"
"21.80000","0.90171","12.44963"
"21.90000","0.90546","12.85778"
"22.00000","0.90863","12.88398"
"22.10000","0.91168","13.12010"
"22.20000","0.91554","13.35016"
"22.30000","0.91859","13.65143"
"22.40000","0.92164","13.79714"
"22.50000","0.92555","14.26170"
"22.60000","0.92855","14.14442"
"22.70000","0.93161","14.66202"
"22.80000","0.93563","15.03214"
"22.90000","0.93857","14.89184"
"23.00000","0.94162","15.37901"
"23.10000","0.94564","15.54793"
"23.20000","0.94854","15.70754"
"23.30000","0.95164","16.06358"
"23.40000","0.95561","16.40239"
"23.50000","0.95855","16.53388"
"23.60000","0.96166","16.70313"
"23.70000","0.96557","16.88914"
"23.80000","0.96857","17.14952"
"23.90000","0.97168","17.51910"
