Group numbers,Specimen material,Test type
"","",""

Results Table 1
,Group numbers,Specimen material,Test type
"2","17","ethefoam","compression"

Results Table 2



Time,Displacement,Force
(s),(mm),(N)
"18.20000","0.60664","7.31651"
"18.30000","0.61007","7.18830"
"18.40000","0.61345","7.37642"
"18.50000","0.61666","7.27982"
"18.60000","0.62004","7.36945"
"18.70000","0.62346","7.52140"
"18.80000","0.62668","7.46305"
"18.90000","0.62995","7.52005"
"19.00000","0.63354","7.28509"
"19.10000","0.63670","7.55494"
"19.20000","0.63996","7.49485"
"19.30000","0.64355","7.54304"
"19.40000","0.64666","7.44383"
"19.50000","0.64988","7.48402"
"19.60000","0.65357","7.40051"
"19.70000","0.65668","7.45573"
"19.80000","0.65984","7.40164"
"19.90000","0.66364","7.51886"
"20.00000","0.66670","7.55379"
"20.10000","0.66980","7.68764"
"20.20000","0.67361","7.36265"
"20.30000","0.67671","7.53146"
"20.40000","0.67977","7.45736"
"20.50000","0.68368","7.39905"
"20.60000","0.68673","7.29432"
"20.70000","0.68973","7.41435"
"20.80000","0.69375","7.63007"
"20.90000","0.69675","7.45043"
"21.00000","0.69975","7.55007"
"21.10000","0.70377","7.71071"
"21.20000","0.70671","7.43728"
"21.30000","0.70971","7.68820"
"21.40000","0.71373","7.60464"
"21.50000","0.71668","7.72373"
"21.60000","0.71979","7.73979"
"21.70000","0.72375","7.53764"
"21.80000","0.72664","7.59127"
"21.90000","0.72980","7.57800"
"22.00000","0.73366","7.46518"
"22.10000","0.73666","7.84156"
"22.20000","0.73988","7.73266"
"22.30000","0.74362","7.88636"
"22.40000","0.74668","7.84571"
"22.50000","0.74984","7.64093"
"22.60000","0.75354","7.68271"
"22.70000","0.75670","7.71601"
"22.80000","0.75991","7.62953"
"22.90000","0.76350","7.89485"
"23.00000","0.76671","7.72076"
"23.10000","0.76993","7.78954"
"23.20000","0.77346","8.06094"
"23.30000","0.77673","7.98256"
"23.40000","0.77995","7.94645"
"23.50000","0.78343","8.04044"
"23.60000","0.78680","7.90612"
"23.70000","0.78996","7.85423"
"23.80000","0.79334","8.02976"
"23.90000","0.79677","8.02893"
"24.00000","0.79998","8.09682"
"24.10000","0.80330","8.19239"
"24.20000","0.80684","8.28553"
"24.30000","0.81000","8.04569"
"24.40000","0.81327","8.34670"
"24.50000","0.81686","8.35902"
"24.60000","0.82007","8.25167"
"24.70000","0.82323","8.36624"
"24.80000","0.82693","8.43705"
"24.90000","0.83009","8.34597"
"25.00000","0.83314","8.63252"
"25.10000","0.83700","8.53315"
"25.20000","0.84005","8.62351"
"25.30000","0.84311","8.74871"
"25.40000","0.84702","8.82718"
"25.50000","0.85002","8.77262"
"25.60000","0.85307","8.91652"
"25.70000","0.85709","8.96095"
"25.80000","0.86004","8.95611"
"25.90000","0.86309","9.06952"
"26.00000","0.86711","9.09786"
"26.10000","0.87000","9.02940"
"26.20000","0.87311","9.17223"
"26.30000","0.87707","9.23264"
"26.40000","0.88002","9.32437"
"26.50000","0.88312","9.18658"
"26.60000","0.88704","9.33119"
"26.70000","0.88998","9.31447"
"26.80000","0.89314","9.47355"
"26.90000","0.89695","9.44764"
"27.00000","0.90005","9.55917"
"27.10000","0.90321","9.44505"
"27.20000","0.90696","9.70530"
"27.30000","0.91002","9.74525"
"27.40000","0.91318","9.77134"
"27.50000","0.91687","9.85259"
"27.60000","0.92004","9.83140"
"27.70000","0.92325","9.97232"
"27.80000","0.92684","9.99536"
"27.90000","0.93005","9.90964"
"28.00000","0.93327","10.04676"
"28.10000","0.93680","10.16981"
"28.20000","0.94002","10.14284"
"28.30000","0.94329","10.24932"
"28.40000","0.94671","10.38245"
"28.50000","0.95009","10.31673"
"28.60000","0.95330","10.34856"
"28.70000","0.95668","10.43918"
"28.80000","0.96011","10.47303"
"28.90000","0.96337","10.49577"
"29.00000","0.96664","10.53392"
