Group numbers,Specimen material,Test type
"","",""

Results Table 1
,Group numbers,Specimen material,Test type
"1","17","white foam","compression"

Results Table 2



Time,Displacement,Force
(s),(mm),(N)
"18.20000","0.92137","13.09174"
"18.30000","0.92448","13.03968"
"18.40000","0.92839","13.30519"
"18.50000","0.93139","13.14146"
"18.60000","0.93445","13.37794"
"18.70000","0.93841","13.35624"
"18.80000","0.94141","13.24196"
"18.90000","0.94446","13.54717"
"19.00000","0.94848","13.61195"
"19.10000","0.95143","13.61594"
"19.20000","0.95443","13.69089"
"19.30000","0.95845","13.76803"
"19.40000","0.96134","13.40559"
"19.50000","0.96445","13.59700"
"19.60000","0.96841","13.57812"
"19.70000","0.97136","13.87120"
"19.80000","0.97446","14.02153"
"19.90000","0.97837","14.03604"
"20.00000","0.98137","14.10613"
"20.10000","0.98454","14.19318"
"20.20000","0.98834","14.18086"
"20.30000","0.99139","14.14210"
"20.40000","0.99455","14.10095"
"20.50000","0.99830","14.26703"
"20.60000","1.00141","14.36477"
"20.70000","1.00457","14.42190"
"20.80000","1.00821","14.52824"
"20.90000","1.01143","14.51336"
"21.00000","1.01459","14.41023"
"21.10000","1.01818","14.58658"
"21.20000","1.02145","14.48917"
"21.30000","1.02466","14.72336"
"21.40000","1.02814","14.76847"
"21.50000","1.03146","15.00891"
"21.60000","1.03462","14.74651"
"21.70000","1.03805","14.99142"
"21.80000","1.04148","14.87588"
"21.90000","1.04470","15.00270"
"22.00000","1.04802","15.03988"
"22.10000","1.05150","15.10158"
"22.20000","1.05466","15.16954"
"22.30000","1.05798","15.04971"
"22.40000","1.06152","15.15860"
"22.50000","1.06473","15.16926"
"22.60000","1.06795","15.20410"
"22.70000","1.07159","15.33309"
"22.80000","1.07475","15.34548"
"22.90000","1.07786","15.47441"
"23.00000","1.08161","15.56267"
"23.10000","1.08477","15.52399"
"23.20000","1.08782","15.56747"
"23.30000","1.09168","15.58664"
"23.40000","1.09473","15.65220"
"23.50000","1.09779","15.85641"
"23.60000","1.10175","15.72782"
"23.70000","1.10475","15.79298"
"23.80000","1.10780","15.95266"
"23.90000","1.11182","15.90454"
"24.00000","1.11471","15.94152"
"24.10000","1.11777","16.06153"
"24.20000","1.12179","16.14030"
"24.30000","1.12468","16.12405"
"24.40000","1.12784","16.09311"
"24.50000","1.13180","16.23742"
"24.60000","1.13470","16.21405"
"24.70000","1.13786","16.48336"
"24.80000","1.14171","16.53260"
"24.90000","1.14471","16.21864"
"25.00000","1.14787","16.40151"
"25.10000","1.15163","16.50193"
"25.20000","1.15473","16.40785"
"25.30000","1.15789","16.60673"
"25.40000","1.16164","16.67557"
"25.50000","1.16475","16.62560"
"25.60000","1.16791","16.73640"
"25.70000","1.17161","16.82844"
"25.80000","1.17477","16.92007"
"25.90000","1.17793","16.93639"
"26.00000","1.18146","16.98942"
"26.10000","1.18479","16.99887"
"26.20000","1.18795","17.15178"
"26.30000","1.19148","17.09334"
"26.40000","1.19480","17.19810"
"26.50000","1.19796","17.28829"
"26.60000","1.20139","17.23167"
"26.70000","1.20477","17.26064"
"26.80000","1.20804","17.33050"
"26.90000","1.21141","17.41230"
"27.00000","1.21484","17.45333"
"27.10000","1.21805","17.53009"
"27.20000","1.22127","17.60556"
"27.30000","1.22486","17.50268"
"27.40000","1.22807","17.46050"
"27.50000","1.23123","17.57998"
"27.60000","1.23488","17.71097"
"27.70000","1.23809","17.63701"
"27.80000","1.24120","17.70230"
"27.90000","1.24495","17.89200"
"28.00000","1.24805","17.84177"
"28.10000","1.25116","17.91140"
"28.20000","1.25502","17.93214"
"28.30000","1.25802","17.85962"
"28.40000","1.26118","17.94397"
"28.50000","1.26504","18.06324"
"28.60000","1.26804","18.02775"
"28.70000","1.27114","18.17119"
"28.80000","1.27505","18.26904"
"28.90000","1.27805","18.19661"
"29.00000","1.28111","18.36746"
"29.10000","1.28507","18.35784"
"29.20000","1.28807","18.39238"
"29.30000","1.29112","18.44358"
"29.40000","1.29509","18.55737"
"29.50000","1.29809","18.53731"
"29.60000","1.30114","18.40647"
"29.70000","1.30505","18.54750"
"29.80000","1.30805","18.62583"
"29.90000","1.31116","18.64561"
"30.00000","1.31507","18.70090"
"30.10000","1.31807","18.81862"
"30.20000","1.32118","18.92510"
"30.30000","1.32498","18.57322"
"30.40000","1.32804","18.87766"
"30.50000","1.33120","18.87741"
"30.60000","1.33500","18.93774"
"30.70000","1.33800","19.01908"
"30.80000","1.34127","18.96619"
"30.90000","1.34491","19.02287"
"31.00000","1.34807","19.08426"
"31.10000","1.35134","19.10876"
"31.20000","1.35477","19.21936"
"31.30000","1.35809","19.34422"
"31.40000","1.36136","19.22975"
"31.50000","1.36468","19.31500"
"31.60000","1.36816","19.36014"
"31.70000","1.37138","19.40006"
"31.80000","1.37464","19.31839"
"31.90000","1.37818","19.38228"
"32.00000","1.38139","19.43930"
"32.10000","1.38461","19.31506"
"32.20000","1.38825","19.62246"
"32.30000","1.39136","19.43310"
"32.40000","1.39457","19.77203"
"32.50000","1.39827","19.74056"
"32.60000","1.40138","19.71071"
"32.70000","1.40454","19.61018"
"32.80000","1.40829","19.87831"
"32.90000","1.41139","19.80405"
"33.00000","1.41450","19.90951"
"33.10000","1.41830","19.99738"
"33.20000","1.42136","20.06131"
"33.30000","1.42452","20.09965"
"33.40000","1.42832","20.03239"
"33.50000","1.43143","20.02914"
"33.60000","1.43448","20.11714"
"33.70000","1.43839","20.07961"
"33.80000","1.44145","20.10035"
"33.90000","1.44445","20.20741"
"34.00000","1.44841","20.38202"
"34.10000","1.45141","20.32308"
"34.20000","1.45446","20.33405"
"34.30000","1.45843","20.45135"
"34.40000","1.46137","20.29089"
"34.50000","1.46443","20.44593"
"34.60000","1.46845","20.74075"
"34.70000","1.47134","20.49740"
"34.80000","1.47445","20.53650"
"34.90000","1.47841","20.42789"
"35.00000","1.48136","20.48159"
"35.10000","1.48452","20.71191"
"35.20000","1.48838","20.83097"
"35.30000","1.49138","20.80725"
"35.40000","1.49454","20.69631"
"35.50000","1.49829","20.69922"
"35.60000","1.50139","20.76523"
"35.70000","1.50461","20.82398"
"35.80000","1.50825","21.04214"
"35.90000","1.51141","21.00999"
"36.00000","1.51463","21.04337"
"36.10000","1.51816","20.80228"
"36.20000","1.52143","21.14073"
"36.30000","1.52464","21.04670"
"36.40000","1.52807","21.12257"
"36.50000","1.53150","21.15147"
"36.60000","1.53466","21.17062"
"36.70000","1.53804","21.24072"
"36.80000","1.54152","21.23470"
"36.90000","1.54468","21.34895"
"37.00000","1.54800","21.45362"
"37.10000","1.55148","21.39146"
"37.20000","1.55470","21.50922"
"37.30000","1.55796","21.47592"
"37.40000","1.56150","21.32277"
"37.50000","1.56471","21.36586"
"37.60000","1.56793","21.68859"
"37.70000","1.57157","21.77790"
"37.80000","1.57473","21.64052"
"37.90000","1.57784","21.69612"
"38.00000","1.58164","21.83101"
"38.10000","1.58475","21.92831"
"38.20000","1.58780","21.87329"
"38.30000","1.59171","21.86613"
"38.40000","1.59471","21.83215"
"38.50000","1.59777","21.95535"
"38.60000","1.60179","22.16348"
"38.70000","1.60473","21.78049"
"38.80000","1.60779","22.11583"
"38.90000","1.61180","22.01544"
"39.00000","1.61470","22.24981"
"39.10000","1.61780","22.26210"
"39.20000","1.62177","22.32775"
"39.30000","1.62466","22.09304"
"39.40000","1.62782","22.24231"
"39.50000","1.63173","22.30524"
"39.60000","1.63468","22.37670"
"39.70000","1.63784","22.29817"
"39.80000","1.64170","22.54089"
"39.90000","1.64470","22.47126"
"40.00000","1.64786","22.55984"
"40.10000","1.65166","22.40445"
"40.20000","1.65477","22.46636"
"40.30000","1.65788","22.52341"
"40.40000","1.66163","22.53392"
"40.50000","1.66473","22.52818"
"40.60000","1.66789","22.49475"
"40.70000","1.67159","22.77570"
"40.80000","1.67475","22.77756"
"40.90000","1.67791","22.85662"
"41.00000","1.68155","22.89357"
"41.10000","1.68471","22.88498"
"41.20000","1.68793","23.01470"
"41.30000","1.69152","22.91063"
"41.40000","1.69479","23.11676"
"41.50000","1.69800","23.01642"
"41.60000","1.70143","23.21047"
"41.70000","1.70475","23.32167"
"41.80000","1.70802","23.15339"
"41.90000","1.71139","23.20736"
"42.00000","1.71477","23.34395"
"42.10000","1.71809","23.29930"
"42.20000","1.72130","23.42994"
"42.30000","1.72489","23.27549"
"42.40000","1.72805","23.33212"
"42.50000","1.73127","23.45008"
"42.60000","1.73496","23.50649"
"42.70000","1.73807","23.45817"
"42.80000","1.74118","23.53712"
"42.90000","1.74498","23.61096"
"43.00000","1.74809","23.61492"
"43.10000","1.75120","23.50985"
"43.20000","1.75500","23.67272"
"43.30000","1.75805","23.66811"
"43.40000","1.76116","23.75307"
"43.50000","1.76502","23.74276"
"43.60000","1.76802","23.83009"
"43.70000","1.77112","23.84836"
"43.80000","1.77509","23.92755"
"43.90000","1.77804","23.89135"
"44.00000","1.78114","23.85501"
"44.10000","1.78511","23.91663"
"44.20000","1.78805","24.09325"
"44.30000","1.79116","24.08101"
"44.40000","1.79507","24.00033"
"44.50000","1.79807","24.11922"
"44.60000","1.80113","24.09683"
"44.70000","1.80509","24.14636"
"44.80000","1.80804","24.12132"
"44.90000","1.81114","24.00385"
"45.00000","1.81505","24.14899"
"45.10000","1.81805","24.15298"
"45.20000","1.82116","24.25296"
"45.30000","1.82502","24.33346"
"45.40000","1.82807","24.25372"
"45.50000","1.83123","24.37793"
"45.60000","1.83498","24.35855"
"45.70000","1.83804","24.39826"
"45.80000","1.84125","24.50546"
"45.90000","1.84484","24.41778"
"46.00000","1.84805","24.69901"
"46.10000","1.85132","24.53177"
"46.20000","1.85486","24.69521"
"46.30000","1.85807","24.62106"
"46.40000","1.86134","24.69386"
"46.50000","1.86477","24.74303"
"46.60000","1.86814","24.80770"
"46.70000","1.87136","24.96910"
"46.80000","1.87473","24.85784"
"46.90000","1.87816","24.77789"
"47.00000","1.88137","24.74409"
"47.10000","1.88470","24.95237"
"47.20000","1.88823","24.92865"
"47.30000","1.89134","24.98664"
"47.40000","1.89461","25.10694"
"47.50000","1.89820","25.03585"
"47.60000","1.90136","25.09142"
"47.70000","1.90457","24.95265"
"47.80000","1.90827","25.07629"
"47.90000","1.91137","25.34436"
"48.00000","1.91454","25.47018"
"48.10000","1.91834","25.47485"
"48.20000","1.92139","25.42956"
"48.30000","1.92450","25.36176"
"48.40000","1.92836","25.26237"
"48.50000","1.93141","25.23967"
"48.60000","1.93446","25.34752"
"48.70000","1.93837","25.51120"
"48.80000","1.94138","25.43314"
"48.90000","1.94443","25.41059"
"49.00000","1.94839","25.69429"
"49.10000","1.95139","25.51299"
"49.20000","1.95445","25.49398"
"49.30000","1.95841","25.80571"
"49.40000","1.96141","25.68428"
"49.50000","1.96446","25.83813"
"49.60000","1.96843","25.69367"
"49.70000","1.97137","25.73509"
"49.80000","1.97448","25.84956"
"49.90000","1.97845","25.90911"
"50.00000","1.98134","25.96239"
"50.10000","1.98450","25.99404"
"50.20000","1.98836","25.92456"
"50.30000","1.99136","25.92879"
"50.40000","1.99457","26.17550"
"50.50000","1.99827","25.95635"
"50.60000","2.00137","26.14197"
"50.70000","2.00459","26.12235"
"50.80000","2.00818","26.08913"
"50.90000","2.01139","26.10682"
"51.00000","2.01466","26.26781"
"51.10000","2.01814","26.20282"
"51.20000","2.02146","26.21452"
"51.30000","2.02463","26.25700"
"51.40000","2.02805","26.28843"
"51.50000","2.03148","26.24225"
"51.60000","2.03464","26.36754"
"51.70000","2.03802","26.43641"
"51.80000","2.04150","26.41875"
"51.90000","2.04466","26.46939"
"52.00000","2.04798","26.46598"
"52.10000","2.05152","26.65107"
"52.20000","2.05468","26.60904"
"52.30000","2.05795","26.61121"
"52.40000","2.06154","26.58575"
"52.50000","2.06470","26.66175"
"52.60000","2.06791","26.85460"
"52.70000","2.07155","26.72875"
"52.80000","2.07477","26.84033"
"52.90000","2.07787","26.95756"
"53.00000","2.08162","26.86037"
"53.10000","2.08473","26.86561"
"53.20000","2.08784","26.79047"
"53.30000","2.09164","26.76856"
"53.40000","2.09475","26.94466"
"53.50000","2.09780","26.95398"
"53.60000","2.10171","26.96144"
"53.70000","2.10471","26.87038"
"53.80000","2.10777","26.92190"
"53.90000","2.11179","27.09635"
"54.00000","2.11468","27.28704"
"54.10000","2.11779","27.10301"
"54.20000","2.12180","27.30585"
"54.30000","2.12470","27.19926"
"54.40000","2.12780","27.33479"
"54.50000","2.13177","27.25101"
"54.60000","2.13466","27.35381"
"54.70000","2.13782","27.37424"
"54.80000","2.14173","27.32346"
"54.90000","2.14468","27.47148"
"55.00000","2.14784","27.64062"
"55.10000","2.15170","27.51701"
"55.20000","2.15475","27.64750"
"55.30000","2.15791","27.67520"
"55.40000","2.16166","27.45446"
"55.50000","2.16471","27.69693"
"55.60000","2.16788","27.73648"
"55.70000","2.17157","27.65209"
"55.80000","2.17473","27.89460"
"55.90000","2.17795","27.69251"
"56.00000","2.18154","27.61023"
"56.10000","2.18475","27.74451"
"56.20000","2.18796","27.76921"
"56.30000","2.19150","27.97939"
"56.40000","2.19477","28.06833"
"56.50000","2.19798","27.83255"
"56.60000","2.20141","28.00523"
"56.70000","2.20479","27.90393"
"56.80000","2.20800","28.08161"
"56.90000","2.21137","28.08525"
"57.00000","2.21486","28.16409"
"57.10000","2.21807","28.32713"
"57.20000","2.22123","28.00343"
"57.30000","2.22487","28.12587"
"57.40000","2.22809","28.11325"
"57.50000","2.23120","28.09475"
"57.60000","2.23495","28.24908"
"57.70000","2.23811","28.24563"
"57.80000","2.24116","28.37361"
"57.90000","2.24502","28.32479"
"58.00000","2.24807","28.35315"
"58.10000","2.25118","28.50586"
"58.20000","2.25504","28.50880"
"58.30000","2.25804","28.55644"
"58.40000","2.26114","28.50165"
"58.50000","2.26500","28.55542"
"58.60000","2.26800","28.62014"
"58.70000","2.27116","28.66409"
"58.80000","2.27507","28.58492"
"58.90000","2.27802","28.67984"
"59.00000","2.28118","28.59397"
"59.10000","2.28504","28.76881"
"59.20000","2.28809","28.65869"
"59.30000","2.29114","28.75970"
"59.40000","2.29505","28.78216"
"59.50000","2.29811","28.58325"
"59.60000","2.30116","28.76612"
"59.70000","2.30502","28.89348"
"59.80000","2.30807","29.04881"
"59.90000","2.31118","28.85281"
"60.00000","2.31504","29.01333"
"60.10000","2.31809","29.02640"
"60.20000","2.32120","28.83877"
"60.30000","2.32500","28.89882"
"60.40000","2.32805","28.98374"
"60.50000","2.33121","29.10229"
"60.60000","2.33502","29.04275"
"60.70000","2.33802","29.20691"
"60.80000","2.34123","29.01171"
"60.90000","2.34488","29.11740"
"61.00000","2.34804","29.24178"
"61.10000","2.35130","29.27311"
"61.20000","2.35484","29.26229"
"61.30000","2.35811","29.50724"
"61.40000","2.36132","29.33605"
"61.50000","2.36475","29.32299"
"61.60000","2.36813","29.45976"
"61.70000","2.37139","29.51215"
"61.80000","2.37471","29.45391"
"61.90000","2.37820","29.56210"
"62.00000","2.38136","29.48449"
"62.10000","2.38462","29.45671"
"62.20000","2.38821","29.77933"
"62.30000","2.39138","29.46480"
"62.40000","2.39459","29.69011"
"62.50000","2.39823","29.75610"
"62.60000","2.40134","29.71951"
"62.70000","2.40455","29.76852"
"62.80000","2.40825","29.91342"
"62.90000","2.41136","29.94710"
"63.00000","2.41452","29.78130"
"63.10000","2.41832","29.79177"
"63.20000","2.42138","29.98491"
"63.30000","2.42448","29.83908"
"63.40000","2.42834","30.17642"
"63.50000","2.43139","30.01460"
"63.60000","2.43445","29.94789"
"63.70000","2.43841","30.07160"
"63.80000","2.44141","30.07042"
"63.90000","2.44441","30.34506"
"64.00000","2.44843","30.12723"
"64.10000","2.45143","29.93912"
"64.20000","2.45443","30.31903"
"64.30000","2.45850","30.21745"
"64.40000","2.46139","30.24078"
"64.50000","2.46445","30.32213"
"64.60000","2.46841","30.26372"
"64.70000","2.47141","30.25006"
"64.80000","2.47452","30.33840"
"64.90000","2.47843","30.39013"
"65.00000","2.48138","30.20916"
"65.10000","2.48454","30.59164"
"65.20000","2.48834","30.63619"
"65.30000","2.49134","30.44970"
"65.40000","2.49461","30.53584"
"65.50000","2.49830","30.62714"
"65.60000","2.50141","30.59482"
"65.70000","2.50457","30.48389"
"65.80000","2.50821","30.74435"
"65.90000","2.51143","30.65090"
"66.00000","2.51459","30.88089"
"66.10000","2.51818","30.88351"
"66.20000","2.52145","30.89979"
"66.30000","2.52466","30.75599"
"66.40000","2.52809","30.94042"
"66.50000","2.53146","30.90218"
"66.60000","2.53463","30.83516"
"66.70000","2.53805","30.97698"
"66.80000","2.54148","31.01402"
"66.90000","2.54470","30.92875"
"67.00000","2.54802","31.06492"
"67.10000","2.55150","31.18143"
"67.20000","2.55471","31.06220"
"67.30000","2.55798","31.08052"
"67.40000","2.56152","31.19418"
"67.50000","2.56473","30.96496"
"67.60000","2.56789","31.36985"
"67.70000","2.57154","31.21710"
"67.80000","2.57475","31.35030"
"67.90000","2.57786","31.29683"
"68.00000","2.58166","31.37373"
"68.10000","2.58477","31.29169"
"68.20000","2.58782","31.43834"
"68.30000","2.59168","31.44780"
"68.40000","2.59473","31.35316"
"68.50000","2.59779","31.71691"
"68.60000","2.60175","31.66519"
"68.70000","2.60475","31.54964"
"68.80000","2.60780","31.62606"
"68.90000","2.61177","31.53596"
"69.00000","2.61471","31.64336"
"69.10000","2.61777","31.88005"
"69.20000","2.62179","31.64137"
"69.30000","2.62468","31.56138"
"69.40000","2.62779","31.71459"
"69.50000","2.63175","31.72142"
"69.60000","2.63470","31.90197"
"69.70000","2.63786","31.83942"
"69.80000","2.64171","32.09067"
"69.90000","2.64471","31.84858"
"70.00000","2.64788","31.84251"
"70.10000","2.65162","31.91706"
"70.20000","2.65473","31.99148"
"70.30000","2.65789","31.82073"
"70.40000","2.66164","32.01569"
"70.50000","2.66475","32.02021"
"70.60000","2.66791","32.00238"
"70.70000","2.67155","32.16292"
"70.80000","2.67477","32.09991"
"70.90000","2.67793","32.35120"
"71.00000","2.68152","32.39934"
"71.10000","2.68479","32.32066"
"71.20000","2.68795","32.36929"
"71.30000","2.69148","32.20839"
"71.40000","2.69480","32.30209"
"71.50000","2.69802","32.30408"
"71.60000","2.70139","32.37587"
"71.70000","2.70477","32.40289"
"71.80000","2.70798","32.35186"
"71.90000","2.71136","32.50444"
"72.00000","2.71484","32.40563"
"72.10000","2.71805","32.39104"
"72.20000","2.72132","32.60111"
"72.30000","2.72486","32.69682"
"72.40000","2.72807","32.68767"
"72.50000","2.73123","32.58995"
"72.60000","2.73493","32.67559"
"72.70000","2.73809","32.69930"
"72.80000","2.74125","32.76402"
"72.90000","2.74500","32.80069"
"73.00000","2.74800","32.81025"
"73.10000","2.75116","32.86160"
"73.20000","2.75502","32.85445"
"73.30000","2.75807","32.87088"
"73.40000","2.76113","32.91712"
"73.50000","2.76504","32.98042"
"73.60000","2.76804","32.88091"
"73.70000","2.77114","33.07843"
"73.80000","2.77505","33.06942"
"73.90000","2.77805","33.05723"
"74.00000","2.78116","33.10586"
"74.10000","2.78507","33.13041"
"74.20000","2.78807","33.17498"
"74.30000","2.79113","33.23882"
"74.40000","2.79509","33.27328"
"74.50000","2.79809","33.23724"
"74.60000","2.80114","33.21237"
"74.70000","2.80505","33.07442"
"74.80000","2.80805","33.22807"
"74.90000","2.81111","33.33360"
"75.00000","2.81507","33.29664"
"75.10000","2.81807","33.53886"
"75.20000","2.82118","33.43145"
"75.30000","2.82504","33.44793"
"75.40000","2.82804","33.56585"
"75.50000","2.83120","33.58120"
"75.60000","2.83500","33.66096"
"75.70000","2.83805","33.60096"
"75.80000","2.84127","33.60268"
"75.90000","2.84491","33.74390"
"76.00000","2.84807","33.78556"
"76.10000","2.85134","33.57794"
"76.20000","2.85477","33.61767"
"76.30000","2.85809","33.90665"
"76.40000","2.86136","33.63590"
"76.50000","2.86468","33.81001"
"76.60000","2.86811","33.87543"
"76.70000","2.87138","33.85334"
"76.80000","2.87464","33.93254"
"76.90000","2.87823","34.10783"
"77.00000","2.88139","33.89389"
"77.10000","2.88461","33.94151"
"77.20000","2.88825","34.24571"
"77.30000","2.89136","34.19598"
"77.40000","2.89457","34.06274"
"77.50000","2.89827","34.22111"
"77.60000","2.90138","34.04527"
"77.70000","2.90459","34.26455"
"77.80000","2.90829","34.17177"
"77.90000","2.91134","34.22159"
"78.00000","2.91450","34.23372"
"78.10000","2.91830","34.43346"
"78.20000","2.92136","34.27814"
"78.30000","2.92452","34.29668"
"78.40000","2.92838","34.41198"
"78.50000","2.93138","34.47483"
"78.60000","2.93448","34.43982"
"78.70000","2.93834","34.71847"
"78.80000","2.94145","34.44557"
"78.90000","2.94445","34.44260"
"79.00000","2.94841","34.58292"
"79.10000","2.95141","34.38601"
"79.20000","2.95446","34.53188"
"79.30000","2.95843","34.67861"
"79.40000","2.96137","34.81625"
"79.50000","2.96443","34.85276"
"79.60000","2.96845","34.61549"
"79.70000","2.97134","34.80893"
"79.80000","2.97445","34.63727"
"79.90000","2.97841","34.79693"
"80.00000","2.98136","34.80392"
"80.10000","2.98452","34.69801"
"80.20000","2.98837","34.89163"
"80.30000","2.99132","34.90809"
"80.40000","2.99459","34.87188"
"80.50000","2.99829","35.17482"
"80.60000","3.00139","35.05114"
"80.70000","3.00461","35.08711"
"80.80000","3.00825","34.76840"
"80.90000","3.01141","35.09559"
"81.00000","3.01463","35.16526"
"81.10000","3.01816","35.20851"
